,Train No.,Train Name,No.of Coaches,Class of train,Revenue(lakhs),Day,Station_Name,Start_station,End_station,Frequency,No.Of PLatforms,Total Journey Hours,NO.Of passengers,Number of Dormitories,Dormitories Capacity,Dormitory utilized,Facility Quality Rating,Average Stay Duration,Revenue(THOUSANDS),Date,Month,Year
34,60165,Partap SF Express,11,2,5,Tue,Bikaner,Jpr,BKN,Weekly,4,8,22752,432,23,29,2,23,66,23,6,2021
35,29800,Partap SF Express,20,1,9,Fri,Bikaner,JDP,DLI,Weekly,1,15,10718,432,32,21,2,17,65,12,5,2021
36,43933,Suratgarh Express,13,1,6,Mon,Bikaner,DLI,UDP,Daily,1,28,14172,432,29,27,3,10,67,4,7,2020
37,11932,Shatabdi Express,19,2,6,Fri,Bikaner,Jpr,DLI,Daily,3,33,27409,432,27,25,4,13,72,3,5,2019
38,76306,Rajdhani Express,22,3,8,Fri,Bikaner,JDP,DLI,Daily,2,11,14841,432,33,32,4,5,71,18,3,2020
39,15938,BKN SF Express,10,1,5,Mon,Bikaner,DLI,UDP,Weekly,1,12,19469,432,23,21,4,7,73,20,11,2019
40,37856,Double Decker,10,2,7,Mon,Bikaner,JSM,UDP,Weekly,2,7,11284,432,25,33,2,15,66,17,10,2020
41,47824,Vande Bharat Express,23,2,8,Wed,Bikaner,UDP,JSM,Weekly,3,21,22265,432,27,25,1,12,70,29,3,2019
42,79560,Shatabdi Express,24,1,5,Wed,Bikaner,BKN,JDP,Twice in week,2,22,18555,432,26,33,4,20,73,10,7,2021
43,65845,Garbi Rath,28,1,8,Sat,Bikaner,JSM,JSM,Daily,1,24,20502,432,28,33,1,9,74,2,4,2022
44,83373,Rajdhani Express,20,3,9,Thu,Bikaner,DLI,DLI,Daily,1,13,14441,432,23,25,1,7,69,4,11,2019
45,81782,Garbi Rath,10,2,8,Thu,Bikaner,DLI,Jpr,Weekly,1,26,23949,432,32,20,3,15,68,25,4,2020
46,23550,Double Decker,19,3,8,Tue,Bikaner,Jpr,UDP,Twice in week,4,19,20951,432,27,29,1,22,69,19,5,2022
47,76107,Partap SF Express,24,2,8,Mon,Bikaner,DLI,JDP,Twice in week,2,40,17744,432,31,27,3,18,71,24,11,2020
48,51048,Suratgarh Express,12,3,5,Thu,Bikaner,JSM,JSM,Daily,2,13,22040,432,32,28,4,19,67,25,7,2019
49,62006,Suratgarh Express,18,1,9,Tue,Bikaner,Jpr,Jpr,Weekly,1,31,23359,432,33,32,2,21,74,2,5,2022
50,90879,Partap SF Express,20,2,8,Tue,Bikaner,JDP,BKN,Daily,4,23,20536,432,27,33,4,11,71,9,4,2021
51,34141,Shatabdi Express,23,3,8,Sun,Bikaner,DLI,Jpr,Weekly,4,17,20147,432,20,20,4,14,69,27,9,2019
52,69520,BKN SF Express,18,2,7,Tue,Bikaner,BKN,JSM,Daily,3,26,26759,432,24,20,4,16,72,4,10,2020
53,69462,Shatabdi Express,20,3,5,Fri,Bikaner,BKN,JDP,Twice in week,2,13,19451,432,30,26,3,10,73,29,6,2022
54,87250,Suratgarh Express,12,2,9,Fri,Bikaner,BKN,UDP,Twice in week,4,22,11439,432,32,33,1,7,68,20,3,2021
55,46547,Rajdhani Express,24,1,7,Thu,Bikaner,UDP,JSM,Daily,2,35,13000,432,25,20,4,16,67,14,8,2021
56,60524,LEELAN SF Express,16,2,7,Sun,Bikaner,DLI,Jpr,Weekly,4,8,26408,432,26,23,1,16,74,13,2,2019
57,57073,BKN SF Express,14,3,5,Tue,Bikaner,KOTA,DLI,Weekly,3,20,20208,432,22,31,2,12,65,14,6,2020
58,73272,LEELAN SF Express,17,1,8,Thu,Bikaner,UDP,BKN,Weekly,2,19,18058,432,31,26,1,17,70,25,4,2020
59,42873,Garbi Rath,19,2,5,Sat,Bikaner,JDP,JSM,Twice in week,2,5,28278,432,34,33,1,14,65,25,7,2019
60,54156,BKN SF Express,23,2,7,Wed,Bikaner,Jpr,Jpr,Weekly,3,22,15483,432,32,24,2,9,74,30,11,2020
61,76805,Suratgarh Express,21,3,9,Mon,Bikaner,UDP,BKN,Weekly,4,39,10656,432,20,30,1,9,68,2,11,2019
62,55800,Suratgarh Express,10,3,6,Tue,Bikaner,BKN,BKN,Weekly,4,17,18814,432,31,30,3,8,65,30,6,2021
63,97964,Garbi Rath,28,2,7,Wed,Bikaner,JSM,JDP,Weekly,4,37,20881,432,29,27,3,15,68,12,7,2020
64,69253,Partap SF Express,17,2,6,Sun,Bikaner,JDP,UDP,Weekly,4,21,26097,432,28,31,4,6,73,29,5,2020
65,93085,LEELAN SF Express,21,3,7,Fri,Bikaner,Jpr,JDP,Weekly,4,36,13627,432,27,25,1,18,65,19,11,2021
66,38211,Double Decker,14,3,8,Tue,Bikaner,JSM,BKN,Twice in week,1,29,17393,432,21,26,4,11,69,19,10,2021
67,16015,LEELAN SF Express,13,3,8,Sun,Bikaner,BKN,JDP,Daily,2,33,16293,432,20,29,2,11,66,7,10,2019
68,98902,BKN SF Express,17,3,5,Mon,Bikaner,KOTA,DLI,Weekly,3,30,20664,432,29,31,4,13,70,21,6,2021
69,25877,Double Decker,17,3,9,Tue,Bikaner,JDP,JDP,Twice in week,3,40,18019,432,22,33,3,12,66,30,10,2022
70,60000,BKN SF Express,26,3,8,Sat,Bikaner,JDP,BKN,Twice in week,1,36,14574,432,28,21,4,13,74,14,4,2019
71,12807,Suratgarh Express,27,1,6,Sun,Bikaner,KOTA,JSM,Twice in week,2,11,26438,432,34,27,4,20,67,26,1,2022
72,67535,Suratgarh Express,26,3,5,Wed,Bikaner,JDP,DLI,Twice in week,3,22,25521,432,22,33,1,8,73,3,2,2020
73,19866,Vande Bharat Express,17,3,9,Thu,Bikaner,UDP,JSM,Weekly,2,19,14155,432,33,21,3,19,68,17,1,2019
74,32678,LEELAN SF Express,11,1,6,Tue,Bikaner,Jpr,KOTA,Weekly,1,29,17144,432,26,30,4,14,69,22,2,2022
75,35193,Suratgarh Express,23,3,7,Mon,Bikaner,Jpr,BKN,Weekly,1,36,12372,432,22,33,1,10,68,9,6,2019
76,77980,BKN SF Express,15,2,9,Fri,Bikaner,KOTA,JSM,Daily,3,9,11136,432,26,28,3,8,72,7,1,2020
77,22591,BKN SF Express,21,1,7,Tue,Bikaner,JDP,KOTA,Twice in week,4,26,22536,432,23,28,1,22,71,9,8,2022
78,45520,Partap SF Express,28,2,9,Thu,Bikaner,JSM,JDP,Daily,3,36,14056,432,21,27,2,22,65,26,8,2021
79,17879,Suratgarh Express,29,3,6,Wed,Bikaner,DLI,JDP,Daily,2,10,23543,432,21,23,3,15,72,12,11,2022
80,51962,Kota SGNR SF SPL,16,2,5,Sat,Bikaner,JDP,BKN,Twice in week,2,36,12029,432,28,28,3,19,73,10,8,2020
81,93417,Double Decker,12,1,6,Wed,Bikaner,BKN,BKN,Daily,2,14,22602,432,26,28,2,8,68,18,2,2019
82,39068,Vande Bharat Express,14,2,5,Sun,Bikaner,UDP,UDP,Twice in week,3,35,22644,432,33,31,1,12,66,29,6,2022
83,68026,Partap SF Express,13,3,6,Sat,Bikaner,Jpr,BKN,Daily,2,5,23629,432,34,22,1,16,65,4,2,2019
84,40025,LEELAN SF Express,28,1,7,Mon,Bikaner,KOTA,KOTA,Twice in week,2,24,25571,432,22,24,4,5,71,21,4,2019
85,29708,Vande Bharat Express,29,3,6,Mon,Bikaner,DLI,JDP,Weekly,3,10,15708,432,33,26,1,23,74,27,9,2021
86,26520,BKN SF Express,23,3,8,Tue,Bikaner,UDP,JSM,Daily,4,4,26472,432,30,30,1,9,71,5,2,2021
87,95733,Suratgarh Express,21,1,7,Tue,Bikaner,Jpr,JSM,Daily,3,20,21882,432,24,20,3,10,73,22,9,2020
88,20528,Kota SGNR SF SPL,22,3,5,Wed,Bikaner,UDP,UDP,Daily,1,14,19187,432,32,22,3,18,74,27,9,2021
89,70043,Double Decker,19,3,7,Sat,Bikaner,JSM,DLI,Weekly,3,17,25173,432,23,24,2,12,68,22,1,2019
90,95507,Shatabdi Express,28,2,8,Sat,Bikaner,JDP,BKN,Twice in week,4,31,13519,432,20,34,2,4,74,27,11,2022
91,14276,Vande Bharat Express,28,2,5,Sun,Bikaner,BKN,Jpr,Daily,3,25,11459,432,28,32,1,8,73,3,7,2021
92,72017,LEELAN SF Express,29,2,6,Sat,Bikaner,Jpr,BKN,Weekly,4,7,21871,432,27,23,2,23,70,20,5,2019
93,23662,LEELAN SF Express,11,3,8,Tue,Bikaner,JSM,KOTA,Daily,2,39,12048,432,20,23,3,19,71,27,1,2020
94,40325,Rajdhani Express,24,1,5,Thu,Bikaner,JSM,JDP,Daily,1,18,13591,432,25,31,3,17,67,13,4,2019
95,19571,Garbi Rath,29,1,7,Sat,Bikaner,JDP,Jpr,Daily,3,40,24557,432,32,24,1,13,73,27,4,2022
96,98634,Vande Bharat Express,20,2,6,Thu,Bikaner,KOTA,BKN,Daily,3,36,18185,432,31,31,3,8,66,19,5,2021
97,18416,Shatabdi Express,14,3,5,Tue,Bikaner,JSM,DLI,Daily,3,33,24174,432,24,30,3,17,68,7,5,2022
98,41010,Garbi Rath,12,3,5,Sat,Bikaner,BKN,JSM,Daily,2,16,13701,432,29,29,3,17,65,5,2,2019
99,11926,Vande Bharat Express,28,2,5,Mon,Bikaner,JSM,JDP,Twice in week,1,10,20608,432,21,27,2,21,68,28,9,2019
100,88847,LEELAN SF Express,21,1,8,Fri,Bikaner,BKN,UDP,Weekly,2,6,21975,432,22,33,3,11,72,23,10,2022
101,23508,Suratgarh Express,23,2,6,Tue,Bikaner,DLI,KOTA,Twice in week,1,9,26299,432,23,22,3,5,71,23,8,2019
102,92810,LEELAN SF Express,22,3,6,Tue,Bikaner,JSM,KOTA,Weekly,3,33,17107,432,25,25,3,15,66,26,1,2022
103,49707,Rajdhani Express,27,1,9,Sat,Bikaner,JDP,KOTA,Twice in week,1,24,27739,432,25,30,3,23,67,19,6,2021
104,45266,Kota SGNR SF SPL,14,3,6,Sat,Bikaner,BKN,JDP,Weekly,3,15,25219,432,28,22,3,14,71,11,7,2020
105,85205,Partap SF Express,16,2,8,Sat,Bikaner,UDP,Jpr,Daily,4,16,20505,432,25,29,1,18,71,2,5,2019
106,99832,Shatabdi Express,18,1,8,Sun,Bikaner,KOTA,KOTA,Twice in week,4,7,14341,432,25,23,2,7,66,18,11,2022
107,91523,LEELAN SF Express,11,3,7,Mon,Bikaner,JDP,JDP,Weekly,3,3,27486,432,22,30,4,16,67,24,5,2022
108,50331,BKN SF Express,11,3,7,Sun,Bikaner,DLI,KOTA,Daily,2,20,18786,432,34,24,3,9,70,4,5,2021
109,68386,Double Decker,10,1,7,Wed,Bikaner,Jpr,UDP,Weekly,3,22,10327,432,32,28,1,18,68,10,9,2021
110,73818,Shatabdi Express,27,2,9,Mon,Bikaner,Jpr,JSM,Weekly,4,23,25417,432,31,20,2,19,67,22,8,2021
111,96522,LEELAN SF Express,12,1,5,Wed,Bikaner,DLI,DLI,Daily,4,13,29097,432,31,29,1,13,72,16,2,2022
112,73806,LEELAN SF Express,27,2,6,Wed,Bikaner,Jpr,KOTA,Twice in week,1,30,14020,432,24,24,1,10,74,8,11,2019
113,53846,BKN SF Express,17,1,8,Sat,Bikaner,KOTA,Jpr,Weekly,1,14,27071,432,33,25,4,17,68,8,1,2022
114,79372,Shatabdi Express,16,2,9,Sun,Bikaner,UDP,JDP,Daily,4,21,19179,432,33,34,3,21,70,8,1,2022
115,19536,Shatabdi Express,25,3,6,Tue,Bikaner,UDP,DLI,Twice in week,2,19,13222,432,25,21,3,17,66,29,9,2019
116,98252,LEELAN SF Express,20,2,8,Wed,Bikaner,UDP,KOTA,Twice in week,1,9,14522,432,23,23,3,12,71,17,4,2022
117,77463,Garbi Rath,11,1,6,Sat,Bikaner,KOTA,DLI,Daily,3,22,28816,432,22,22,2,14,69,5,10,2021
118,72697,Shatabdi Express,15,1,7,Sun,Bikaner,Jpr,KOTA,Twice in week,2,5,22691,432,29,24,4,21,70,19,2,2021
119,92978,Rajdhani Express,12,1,8,Sun,Bikaner,DLI,KOTA,Weekly,2,38,12336,432,20,33,2,8,71,23,8,2022
120,33068,Garbi Rath,26,1,5,Sat,Bikaner,DLI,UDP,Twice in week,1,12,14217,432,32,20,2,23,74,17,11,2022
121,84960,Shatabdi Express,27,3,7,Tue,Bikaner,Jpr,DLI,Daily,2,40,17535,432,32,30,4,18,72,6,8,2019
122,14122,BKN SF Express,26,2,5,Mon,Bikaner,JDP,JDP,Daily,1,18,28355,432,31,33,4,22,67,22,3,2021
123,47482,Rajdhani Express,27,3,9,Tue,Bikaner,KOTA,UDP,Twice in week,2,18,14168,432,25,34,2,20,74,18,7,2021
124,91041,Double Decker,27,1,6,Thu,Bikaner,JDP,JSM,Weekly,4,21,23381,432,22,30,3,10,72,25,8,2022
125,87816,LEELAN SF Express,24,2,5,Thu,Bikaner,DLI,UDP,Twice in week,4,31,29969,432,30,24,3,15,73,30,8,2019
126,76866,Shatabdi Express,25,2,9,Fri,Bikaner,JSM,Jpr,Twice in week,3,28,25661,432,34,20,1,8,68,30,6,2019
127,25105,Kota SGNR SF SPL,28,3,7,Wed,Bikaner,DLI,JSM,Daily,2,27,18184,432,21,25,1,4,74,16,6,2021
128,72515,Double Decker,16,2,8,Sat,Bikaner,DLI,JDP,Daily,4,13,12508,432,32,29,2,21,68,14,3,2019
129,14217,Shatabdi Express,16,1,9,Thu,Bikaner,Jpr,KOTA,Daily,3,11,10381,432,34,20,2,15,69,11,3,2019
130,91530,BKN SF Express,10,1,6,Wed,Bikaner,UDP,BKN,Twice in week,3,20,28984,432,26,24,1,5,74,29,11,2019
131,85729,Rajdhani Express,14,1,5,Mon,Bikaner,JDP,UDP,Weekly,1,41,13913,432,27,32,4,7,67,19,7,2022
132,62539,Double Decker,24,2,8,Mon,Bikaner,DLI,Jpr,Daily,1,37,27271,432,29,28,1,9,72,2,2,2021
133,27340,Vande Bharat Express,17,3,5,Wed,Bikaner,Jpr,UDP,Twice in week,1,33,23281,432,21,28,2,20,72,8,6,2019
134,41257,Vande Bharat Express,10,3,8,Sat,Bikaner,BKN,Jpr,Daily,4,39,24405,432,20,33,4,7,71,3,4,2020
135,66054,Kota SGNR SF SPL,20,1,6,Fri,Bikaner,JSM,JDP,Weekly,4,34,29940,432,33,20,2,6,65,21,4,2021
136,90730,Kota SGNR SF SPL,26,2,8,Thu,Bikaner,DLI,KOTA,Weekly,3,10,21417,432,28,33,2,5,68,7,7,2021
137,75723,Shatabdi Express,22,2,9,Sun,Bikaner,JSM,BKN,Weekly,4,41,12849,432,22,32,1,11,67,26,8,2019
138,90676,Kota SGNR SF SPL,20,1,6,Sat,Bikaner,KOTA,JSM,Twice in week,4,16,11185,432,25,33,1,8,67,3,8,2020
139,72922,Double Decker,17,2,7,Fri,Bikaner,JDP,JDP,Daily,3,15,26620,432,28,24,4,7,70,10,2,2021
140,43826,LEELAN SF Express,22,2,8,Fri,Bikaner,JSM,BKN,Daily,3,5,18940,432,30,25,4,5,71,26,4,2020
141,94112,Rajdhani Express,20,2,5,Wed,Bikaner,KOTA,BKN,Twice in week,2,29,13517,432,31,29,2,15,65,25,1,2019
142,11091,Kota SGNR SF SPL,26,3,7,Mon,Bikaner,JDP,DLI,Weekly,2,35,26563,432,22,22,3,22,71,28,5,2021
143,71924,Suratgarh Express,11,3,6,Mon,Bikaner,JSM,Jpr,Weekly,3,15,29976,432,27,32,4,23,71,16,2,2019
144,79131,Double Decker,23,1,7,Thu,Bikaner,DLI,JSM,Weekly,3,30,14300,432,32,24,4,17,74,5,5,2021
145,99147,Suratgarh Express,20,3,6,Mon,Bikaner,KOTA,Jpr,Twice in week,2,18,21459,432,33,25,2,13,65,19,4,2022
146,14699,Suratgarh Express,15,1,7,Sat,Bikaner,KOTA,Jpr,Twice in week,4,11,12774,432,33,31,3,18,65,28,10,2019
147,67323,Vande Bharat Express,25,2,7,Sat,Bikaner,KOTA,JDP,Twice in week,4,5,28018,432,33,28,2,8,69,26,8,2021
148,39796,Kota SGNR SF SPL,25,2,6,Tue,Bikaner,JDP,BKN,Daily,2,16,19878,432,23,24,1,13,71,29,10,2020
149,84705,LEELAN SF Express,17,3,7,Mon,Bikaner,KOTA,BKN,Daily,1,34,18813,432,34,29,2,6,67,6,4,2020
150,24885,Garbi Rath,21,1,8,Wed,Bikaner,JDP,JSM,Weekly,4,13,22712,432,29,26,3,4,68,2,7,2020
151,70934,Double Decker,25,1,7,Mon,Bikaner,JDP,UDP,Weekly,2,24,29476,432,33,28,4,20,71,11,1,2020
152,57048,Partap SF Express,21,2,9,Thu,Bikaner,JDP,UDP,Daily,1,22,13041,432,21,27,2,7,66,9,8,2020
153,76210,Suratgarh Express,29,2,9,Tue,Bikaner,BKN,BKN,Weekly,4,6,25335,432,34,25,4,6,72,3,6,2020
154,51690,Double Decker,21,1,7,Sun,Bikaner,JDP,Jpr,Daily,1,31,26956,432,28,23,1,11,73,26,8,2019
155,34163,Kota SGNR SF SPL,16,3,5,Tue,Bikaner,KOTA,JSM,Daily,3,18,17313,432,32,20,2,19,65,23,2,2020
156,80927,Shatabdi Express,25,3,9,Mon,Bikaner,KOTA,BKN,Weekly,4,17,29158,432,31,20,3,12,67,23,10,2020
157,58999,Shatabdi Express,21,1,6,Tue,Bikaner,KOTA,KOTA,Daily,4,26,22177,432,20,29,3,7,71,29,3,2021
158,32159,Double Decker,28,1,6,Tue,Bikaner,JSM,BKN,Weekly,1,17,29487,432,28,25,4,9,67,26,11,2019
159,17698,LEELAN SF Express,24,2,9,Sun,Bikaner,DLI,UDP,Twice in week,1,13,16511,432,31,34,1,7,66,30,9,2022
160,76404,BKN SF Express,24,1,5,Mon,Bikaner,JDP,JDP,Daily,1,41,16896,432,30,23,1,4,70,27,8,2021
161,48373,Partap SF Express,11,2,7,Tue,Bikaner,KOTA,JDP,Weekly,2,40,23224,432,23,33,1,23,72,21,2,2022
162,48222,LEELAN SF Express,26,1,9,Sun,Bikaner,JDP,KOTA,Daily,3,14,18987,432,21,25,2,22,68,13,8,2021
163,22547,Partap SF Express,10,1,9,Fri,Bikaner,JDP,DLI,Daily,3,8,20997,432,27,30,4,12,72,25,2,2020
164,55195,Partap SF Express,20,3,7,Mon,Bikaner,JSM,Jpr,Twice in week,3,5,10956,432,22,22,4,15,65,21,11,2019
165,90697,LEELAN SF Express,19,3,6,Wed,Bikaner,JDP,Jpr,Daily,4,33,10732,432,21,32,3,15,70,15,2,2022
166,82825,Vande Bharat Express,18,3,6,Sat,Bikaner,JDP,Jpr,Twice in week,1,6,27524,432,25,23,2,9,71,8,3,2022
167,81686,Garbi Rath,19,3,5,Wed,Bikaner,Jpr,BKN,Daily,1,13,23660,432,28,30,1,23,66,27,9,2019
168,56788,Partap SF Express,27,3,5,Sat,Bikaner,KOTA,BKN,Daily,2,4,12808,432,33,23,1,20,66,25,9,2021
169,72431,Vande Bharat Express,25,2,5,Sat,Bikaner,KOTA,KOTA,Weekly,4,11,29914,432,22,27,4,6,65,1,9,2019
170,90567,Garbi Rath,29,2,5,Thu,Bikaner,JSM,BKN,Weekly,1,8,23667,432,24,34,4,19,69,19,9,2019
171,56913,Kota SGNR SF SPL,11,1,6,Fri,Bikaner,UDP,DLI,Twice in week,3,17,11311,432,24,20,4,19,71,11,6,2022
172,16482,Kota SGNR SF SPL,11,1,7,Sun,Bikaner,JDP,DLI,Twice in week,3,41,28767,432,26,26,4,8,72,19,1,2022
173,28954,Partap SF Express,27,1,6,Sun,Bikaner,Jpr,BKN,Weekly,2,13,29920,432,28,28,3,8,70,13,4,2019
174,17351,Vande Bharat Express,20,1,7,Sat,Bikaner,KOTA,BKN,Twice in week,2,41,26440,432,28,34,2,15,74,17,7,2019
175,13289,Double Decker,20,2,5,Sun,Bikaner,UDP,BKN,Twice in week,2,5,13225,432,23,32,4,4,72,29,11,2022
176,72482,Suratgarh Express,16,2,5,Wed,Bikaner,BKN,KOTA,Daily,4,26,18591,432,22,25,2,23,69,22,3,2021
177,24172,LEELAN SF Express,16,2,8,Sun,Bikaner,BKN,JSM,Weekly,1,36,20288,432,25,22,3,5,74,11,5,2022
178,38711,Partap SF Express,19,2,5,Wed,Bikaner,JDP,KOTA,Daily,2,11,26865,432,29,30,1,11,68,21,1,2019
179,97091,Double Decker,28,2,6,Mon,Bikaner,KOTA,KOTA,Twice in week,2,15,19783,432,24,26,1,9,68,26,3,2022
180,70168,BKN SF Express,17,2,5,Fri,Bikaner,BKN,Jpr,Twice in week,3,40,13179,432,34,31,4,23,67,16,10,2020
181,29844,Garbi Rath,27,2,8,Sun,Bikaner,UDP,BKN,Twice in week,1,10,28944,432,26,26,3,13,66,12,1,2020
182,18861,LEELAN SF Express,11,1,7,Thu,Bikaner,BKN,DLI,Daily,3,17,12378,432,31,25,3,6,72,9,3,2020
183,91247,Vande Bharat Express,19,2,6,Sun,Bikaner,JSM,JDP,Twice in week,3,39,28758,432,22,33,3,18,74,3,4,2022
184,52636,Double Decker,22,3,6,Mon,Bikaner,JDP,JSM,Weekly,3,32,27489,432,33,33,1,15,66,22,4,2021
185,82516,Double Decker,29,1,9,Thu,Bikaner,Jpr,DLI,Daily,1,6,16965,432,24,33,1,13,71,23,1,2021
186,17319,Vande Bharat Express,12,2,9,Mon,Bikaner,KOTA,DLI,Twice in week,3,29,29309,432,21,29,2,21,71,23,9,2020
187,34131,LEELAN SF Express,11,3,9,Mon,Bikaner,JSM,JSM,Twice in week,2,23,11338,432,23,31,2,15,68,1,6,2020
188,82539,LEELAN SF Express,28,1,5,Mon,Bikaner,UDP,JDP,Daily,4,11,13705,432,21,25,3,7,65,24,1,2022
189,79367,Garbi Rath,18,3,7,Mon,Bikaner,DLI,KOTA,Weekly,3,13,20214,432,31,25,4,15,66,6,5,2022
190,97271,Shatabdi Express,24,2,9,Tue,Bikaner,JDP,UDP,Daily,1,26,15474,432,30,28,1,23,66,8,5,2021
191,30293,BKN SF Express,21,2,7,Wed,Bikaner,KOTA,UDP,Twice in week,2,7,10389,432,29,23,4,22,67,15,11,2020
192,33796,Kota SGNR SF SPL,21,3,7,Fri,Bikaner,BKN,JSM,Twice in week,1,41,27022,432,27,31,1,15,71,5,6,2022
193,65770,Partap SF Express,15,2,8,Mon,Bikaner,JSM,UDP,Twice in week,2,25,11924,432,33,20,3,8,68,22,2,2021
194,72007,Vande Bharat Express,28,2,7,Tue,Bikaner,BKN,UDP,Daily,2,10,15076,432,26,20,2,14,70,20,3,2021
195,23628,Suratgarh Express,14,1,8,Wed,Bikaner,UDP,JDP,Daily,1,13,22635,432,31,31,4,5,68,12,2,2022
196,18257,Kota SGNR SF SPL,11,3,5,Thu,Bikaner,KOTA,JDP,Twice in week,4,41,22555,432,28,33,2,18,69,12,9,2019
