,Train No.,Train Name,No.of Coaches,Class of train,Revenue(lakhs),Day,Station_Name,Start_station,End_station,Frequency,No.Of PLatforms,Total Journey Hours,NO.Of passengers,Number of Dormitories,Dormitories Capacity,Dormitory utilized,Facility Quality Rating,Average Stay Duration,Revenue(THOUSANDS),Date,Month,Year
92,82518,Chetak Express,23,3,9,Sat,Udaipur,Dli,Pali,Twice in week,3,4,23654,703,21,28,3,20,65,24,6,2019
93,79390,Chetak Express,19,1,11,Tue,Udaipur,BKN,UDP,Twice in week,1,24,28101,703,25,29,1,11,61,23,7,2022
94,36159,Shatabdi Express,18,3,5,Mon,Udaipur,Dli,UDP,Daily,2,17,22557,703,29,22,4,4,70,9,1,2020
95,53239,ALL Puri SF Express,27,2,8,Thu,Udaipur,Jpr,Pali,Weekly,3,17,13229,703,23,22,3,13,62,11,6,2020
96,41869,Rajdhani Express,24,2,13,Sun,Udaipur,Jpr,BKN,Twice in week,3,4,20031,703,22,27,3,15,66,27,8,2019
97,87482,ALL Puri SF Express,16,2,14,Sun,Udaipur,Dli,UDP,Daily,1,18,18962,703,22,24,1,18,66,20,11,2022
98,32631,Chetak Express,18,1,9,Tue,Udaipur,UDP,Jpr,Weekly,4,25,19684,703,20,27,3,16,61,2,3,2021
99,98367,Dee Rzt Exp,24,3,6,Sun,Udaipur,Jpr,JDP,Twice in week,1,20,13022,703,27,26,2,15,63,4,9,2021
100,17524,ALL Puri SF Express,14,3,7,Fri,Udaipur,JDP,Jpr,Weekly,4,7,14559,703,23,24,2,22,64,30,4,2020
101,13867,Yoga Express,29,2,9,Sun,Udaipur,JDP,UDP,Twice in week,1,16,15191,703,23,21,2,18,69,16,7,2020
102,67164,ALL Puri SF Express,25,3,13,Sat,Udaipur,Pali,JDP,Twice in week,4,23,18040,703,21,20,2,16,61,22,3,2021
103,29213,Double Decker,20,2,5,Fri,Udaipur,BKN,BKN,Daily,2,29,25241,703,24,25,3,16,63,5,11,2022
104,26521,Yoga Express,27,1,9,Mon,Udaipur,Jpr,Mount Abu,Twice in week,5,17,22053,703,22,20,1,19,67,12,5,2022
105,76994,Rajdhani Express,12,1,13,Fri,Udaipur,Pali,Mount Abu,Daily,4,19,15512,703,29,23,2,13,64,20,4,2021
106,63698,Rajdhani Express,17,2,9,Mon,Udaipur,BKN,UDP,Twice in week,2,24,19004,703,23,25,4,22,62,5,3,2021
107,66391,Dee Rzt Exp,22,2,13,Fri,Udaipur,UDP,Pali,Daily,1,31,14979,703,25,29,4,13,65,22,5,2021
108,74176,Rajdhani Express,11,2,13,Sun,Udaipur,JDP,Pali,Weekly,5,8,16285,703,20,28,1,9,61,22,5,2022
109,29639,Humsafar Express,19,2,10,Tue,Udaipur,BKN,JDP,Weekly,3,15,29928,703,27,20,1,4,66,7,9,2019
110,68017,ALL Puri SF Express,11,2,9,Tue,Udaipur,Mount Abu,Jpr,Twice in week,5,4,19435,703,23,27,4,19,60,14,10,2019
111,82495,Dee Rzt Exp,29,2,7,Fri,Udaipur,UDP,Pali,Twice in week,4,11,28578,703,29,25,3,21,60,10,8,2019
112,51732,Vande Bharat Express,14,3,14,Sun,Udaipur,Mount Abu,Mount Abu,Daily,3,8,24612,703,23,26,2,8,60,7,2,2019
113,82510,Dee Rzt Exp,14,2,10,Tue,Udaipur,BKN,Dli,Twice in week,3,3,19218,703,20,28,4,19,69,26,5,2022
114,23227,Double Decker,11,2,12,Fri,Udaipur,Pali,Dli,Weekly,4,11,20123,703,20,21,1,4,67,28,5,2022
115,54345,Rajdhani Express,15,1,7,Sun,Udaipur,Mount Abu,Mount Abu,Twice in week,5,5,23067,703,29,23,4,22,69,12,10,2019
116,60276,Shatabdi Express,27,1,11,Thu,Udaipur,Dli,Dli,Daily,5,7,11256,703,20,22,3,19,68,21,7,2021
117,90797,Garbi Rath,29,1,12,Mon,Udaipur,Jpr,Jpr,Daily,1,32,29589,703,20,21,1,15,67,2,4,2019
118,90584,Vande Bharat Express,23,3,12,Fri,Udaipur,Dli,Dli,Daily,1,27,13289,703,27,23,1,17,61,3,11,2021
119,43456,ALL Puri SF Express,25,2,9,Thu,Udaipur,JDP,JDP,Daily,2,31,18610,703,28,25,4,12,65,19,1,2019
120,67611,Humsafar Express,27,2,5,Thu,Udaipur,UDP,Jpr,Twice in week,3,21,23612,703,21,25,1,8,60,22,9,2021
121,50693,Rajdhani Express,29,2,7,Tue,Udaipur,Jpr,Jpr,Twice in week,4,11,12993,703,28,27,4,4,66,16,7,2019
122,89219,Shatabdi Express,25,2,5,Thu,Udaipur,Dli,Mount Abu,Twice in week,5,22,24549,703,23,28,3,9,70,14,10,2019
123,45101,Dee Rzt Exp,24,1,13,Sun,Udaipur,Jpr,Dli,Weekly,1,32,15558,703,21,20,2,8,70,28,9,2019
124,67893,Double Decker,28,2,6,Thu,Udaipur,Pali,Dli,Twice in week,2,24,10501,703,21,23,2,16,62,5,6,2021
125,99342,Garbi Rath,21,2,7,Sat,Udaipur,Mount Abu,Pali,Daily,4,26,10252,703,26,25,4,7,60,22,10,2019
126,26881,ALL Puri SF Express,27,3,6,Thu,Udaipur,Jpr,Mount Abu,Daily,2,4,17105,703,20,26,1,23,71,20,4,2020
127,14980,Garbi Rath,23,1,9,Sat,Udaipur,UDP,Pali,Weekly,3,28,20506,703,26,22,3,5,62,24,9,2020
128,73551,Rajdhani Express,21,2,11,Tue,Udaipur,BKN,Mount Abu,Weekly,3,4,17165,703,29,27,2,13,60,12,3,2020
129,72941,Vande Bharat Express,19,2,6,Thu,Udaipur,Jpr,Jpr,Daily,5,21,10437,703,29,29,2,4,69,14,9,2022
130,20766,Vande Bharat Express,10,2,9,Sat,Udaipur,Jpr,JDP,Weekly,4,5,24175,703,22,22,3,5,61,21,1,2019
131,45256,Dee Rzt Exp,14,1,6,Tue,Udaipur,Dli,Jpr,Weekly,4,15,19485,703,21,24,3,22,61,6,6,2022
132,19700,Rajdhani Express,14,1,13,Mon,Udaipur,Mount Abu,BKN,Weekly,1,15,18425,703,23,29,3,8,67,11,11,2019
133,42856,Chetak Express,17,2,7,Mon,Udaipur,Jpr,Pali,Daily,4,3,18479,703,23,26,2,14,66,6,10,2021
134,25524,Shatabdi Express,13,3,10,Sun,Udaipur,JDP,UDP,Weekly,5,3,22221,703,29,25,1,17,71,23,3,2020
135,44281,Garbi Rath,24,1,7,Wed,Udaipur,UDP,Dli,Daily,1,15,19260,703,26,27,1,10,65,15,4,2022
136,39652,Garbi Rath,21,2,7,Mon,Udaipur,BKN,Dli,Twice in week,4,34,20003,703,21,21,2,15,67,13,5,2022
137,12162,Rajdhani Express,17,2,5,Thu,Udaipur,Jpr,BKN,Weekly,5,7,29548,703,22,24,3,4,63,5,3,2020
138,51019,ALL Puri SF Express,24,3,10,Fri,Udaipur,Pali,UDP,Twice in week,5,10,12795,703,21,24,4,10,69,17,7,2020
139,96062,Yoga Express,12,2,9,Mon,Udaipur,JDP,Jpr,Daily,3,5,15711,703,22,21,1,10,67,15,11,2020
140,94803,Garbi Rath,10,3,11,Wed,Udaipur,BKN,JDP,Weekly,5,29,27621,703,29,23,1,21,71,13,2,2020
141,87885,Shatabdi Express,28,3,13,Thu,Udaipur,BKN,Jpr,Daily,4,33,25038,703,25,21,3,8,61,12,4,2021
142,60534,Shatabdi Express,29,2,9,Sun,Udaipur,UDP,Mount Abu,Daily,1,32,27998,703,29,22,3,19,67,20,5,2021
143,73293,ALL Puri SF Express,11,2,9,Tue,Udaipur,BKN,JDP,Weekly,4,13,22230,703,26,27,1,11,60,1,6,2021
144,92689,Garbi Rath,22,2,12,Wed,Udaipur,Dli,JDP,Twice in week,2,25,19840,703,27,20,1,12,70,27,2,2019
145,94605,Vande Bharat Express,18,1,11,Tue,Udaipur,Dli,BKN,Twice in week,1,27,11275,703,27,26,1,8,69,15,2,2020
146,20383,Double Decker,19,3,5,Wed,Udaipur,UDP,Mount Abu,Twice in week,4,33,10135,703,27,20,1,18,62,30,1,2019
147,49129,Humsafar Express,21,3,9,Sat,Udaipur,Dli,BKN,Twice in week,2,21,23221,703,24,23,1,18,68,7,3,2022
148,27461,Yoga Express,15,3,9,Sun,Udaipur,UDP,JDP,Weekly,1,30,23220,703,22,29,4,22,68,9,8,2021
149,44491,Vande Bharat Express,12,3,9,Wed,Udaipur,BKN,BKN,Twice in week,2,24,16443,703,24,24,3,11,65,9,3,2019
150,53150,Dee Rzt Exp,14,3,10,Tue,Udaipur,UDP,Pali,Weekly,4,17,27698,703,26,22,3,12,69,2,10,2019
151,72489,ALL Puri SF Express,20,2,12,Thu,Udaipur,UDP,Jpr,Twice in week,3,21,29108,703,20,29,2,18,61,19,2,2021
152,39537,Yoga Express,23,3,5,Tue,Udaipur,UDP,UDP,Daily,4,11,10202,703,24,26,1,6,61,14,5,2019
153,68474,ALL Puri SF Express,14,2,7,Wed,Udaipur,Dli,Dli,Daily,1,29,11358,703,23,25,2,9,70,6,9,2022
154,95476,Yoga Express,27,2,8,Thu,Udaipur,Dli,Dli,Daily,2,24,20838,703,25,22,2,20,68,10,11,2020
155,38581,Shatabdi Express,15,3,7,Sun,Udaipur,BKN,Mount Abu,Daily,4,34,17132,703,24,27,1,16,68,3,5,2021
156,29431,ALL Puri SF Express,27,2,7,Thu,Udaipur,Jpr,Jpr,Twice in week,1,23,23107,703,24,25,3,7,60,5,10,2019
157,13761,Double Decker,29,1,5,Thu,Udaipur,Mount Abu,JDP,Daily,3,18,12612,703,21,23,2,21,69,30,3,2019
158,94845,Shatabdi Express,24,1,10,Sat,Udaipur,Mount Abu,JDP,Twice in week,2,30,13185,703,22,25,4,21,62,17,8,2022
159,65082,Dee Rzt Exp,18,3,8,Fri,Udaipur,Mount Abu,UDP,Twice in week,1,31,22561,703,28,26,1,23,67,26,10,2022
160,47699,ALL Puri SF Express,15,2,8,Sun,Udaipur,Mount Abu,Dli,Daily,2,10,23876,703,23,25,4,16,66,16,8,2022
161,84622,Double Decker,17,1,13,Mon,Udaipur,UDP,UDP,Twice in week,1,15,14223,703,23,25,4,5,69,16,4,2019
162,64807,Humsafar Express,24,3,14,Fri,Udaipur,Pali,Mount Abu,Twice in week,2,28,15504,703,29,23,2,12,60,14,6,2020
163,76313,Double Decker,20,2,12,Sat,Udaipur,Mount Abu,UDP,Twice in week,1,29,26424,703,29,28,2,16,65,22,2,2019
164,57079,Yoga Express,18,1,5,Wed,Udaipur,UDP,JDP,Weekly,2,18,19600,703,27,28,4,6,69,21,11,2020
165,67677,Humsafar Express,16,2,7,Thu,Udaipur,Pali,Dli,Twice in week,2,27,23553,703,21,21,3,6,71,6,10,2020
166,53880,Rajdhani Express,14,3,14,Sat,Udaipur,Jpr,Mount Abu,Twice in week,2,23,10705,703,21,27,1,4,60,9,2,2022
167,35287,Humsafar Express,20,2,13,Sat,Udaipur,BKN,Pali,Weekly,1,9,12289,703,20,23,4,16,67,15,7,2019
168,10480,ALL Puri SF Express,14,1,7,Fri,Udaipur,BKN,BKN,Twice in week,1,12,20122,703,25,20,2,9,63,13,9,2021
169,80320,Humsafar Express,12,1,5,Fri,Udaipur,Pali,BKN,Weekly,2,34,28930,703,23,29,2,16,62,27,6,2019
170,14021,Garbi Rath,28,1,7,Thu,Udaipur,Jpr,JDP,Twice in week,4,13,16774,703,26,23,1,22,68,9,7,2021
171,50534,Rajdhani Express,21,1,11,Sun,Udaipur,Pali,Dli,Daily,2,29,26403,703,26,29,1,8,64,2,6,2019
172,96720,Humsafar Express,12,1,7,Mon,Udaipur,Dli,UDP,Weekly,3,11,23867,703,28,29,2,16,60,24,8,2021
173,89111,Garbi Rath,13,1,12,Mon,Udaipur,Pali,Jpr,Weekly,4,15,24619,703,22,21,2,20,64,5,1,2019
174,62603,Chetak Express,14,2,8,Fri,Udaipur,Dli,Mount Abu,Twice in week,2,26,12874,703,22,25,1,6,65,17,10,2021
175,23342,Vande Bharat Express,24,1,12,Tue,Udaipur,Dli,JDP,Weekly,4,26,27965,703,25,27,3,17,69,1,5,2022
176,62566,Rajdhani Express,29,2,7,Mon,Udaipur,Jpr,JDP,Daily,5,23,11771,703,25,25,2,17,64,16,3,2021
177,30255,Yoga Express,17,2,11,Sat,Udaipur,Dli,UDP,Weekly,5,24,15435,703,27,23,2,12,62,17,11,2020
178,40857,Shatabdi Express,12,2,7,Sat,Udaipur,Jpr,Dli,Weekly,4,21,18344,703,23,25,3,17,61,14,7,2019
179,69836,Humsafar Express,24,1,9,Sat,Udaipur,Mount Abu,UDP,Daily,1,5,16233,703,24,28,1,7,64,9,2,2021
180,71547,Double Decker,23,1,11,Mon,Udaipur,UDP,BKN,Weekly,4,18,15626,703,22,25,2,14,61,8,9,2022
181,49256,Vande Bharat Express,19,1,10,Wed,Udaipur,Mount Abu,Mount Abu,Twice in week,1,14,20318,703,20,22,2,15,69,28,7,2019
182,41788,Rajdhani Express,24,1,10,Sun,Udaipur,Dli,BKN,Daily,5,24,10965,703,23,22,1,14,65,18,11,2019
183,90970,Dee Rzt Exp,29,3,8,Tue,Udaipur,Jpr,Mount Abu,Weekly,1,18,13815,703,26,22,1,5,63,20,8,2020
184,79253,Double Decker,11,2,6,Wed,Udaipur,Jpr,Pali,Daily,1,7,13136,703,26,26,2,20,64,23,7,2020
185,59743,Garbi Rath,28,2,8,Fri,Udaipur,UDP,JDP,Twice in week,3,28,16715,703,26,29,1,6,63,26,9,2021
186,68731,Dee Rzt Exp,27,3,12,Mon,Udaipur,UDP,Dli,Daily,1,18,19452,703,25,20,3,8,66,16,1,2020
187,51558,Humsafar Express,22,2,10,Sun,Udaipur,Dli,Mount Abu,Weekly,5,22,28198,703,23,28,3,20,61,14,5,2022
188,38052,Shatabdi Express,24,2,10,Sat,Udaipur,Dli,UDP,Daily,4,28,28409,703,23,22,2,7,67,30,3,2020
189,76720,Dee Rzt Exp,26,2,7,Thu,Udaipur,Dli,UDP,Daily,5,20,20257,703,22,28,1,11,65,28,4,2020
190,29578,Humsafar Express,19,1,12,Tue,Udaipur,Dli,Jpr,Weekly,4,30,22422,703,20,24,3,16,65,18,3,2020
191,29059,Garbi Rath,24,2,13,Fri,Udaipur,Mount Abu,JDP,Weekly,4,7,25745,703,22,21,2,20,61,10,11,2021
192,45747,Dee Rzt Exp,18,3,8,Sat,Udaipur,UDP,JDP,Twice in week,5,25,28006,703,23,20,4,11,71,18,9,2019
193,68198,Double Decker,20,2,10,Mon,Udaipur,UDP,Pali,Weekly,3,16,23330,703,23,26,4,5,60,30,2,2019
194,53315,Rajdhani Express,28,3,12,Mon,Udaipur,UDP,Jpr,Twice in week,5,9,21964,703,21,20,3,21,68,28,4,2022
195,35496,Dee Rzt Exp,28,3,7,Wed,Udaipur,JDP,Pali,Weekly,2,16,18941,703,21,27,3,18,70,11,2,2021
